Brand,Family,Name,Reference,Limited,Glass,Shape,Diameter,W/R,Color,image_file,image_file_processed
TAG Heuer,Aquaracer,Aquaracer 300M Quartz 38.4 Stainless Steel / Black / Bracelet,WAF1110.BA0800,No,Sapphire,Round,38.40 mm,300.00 m,Black,WAF1110.BA0800.jpg,processed_WAF1110.BA0800.jpg
TAG Heuer,Monaco,Monaco Calibre 6 Automatic Black,WW2110.FC6177,No,Plexi,Square,37.00 mm,50.00 m,Black,WW2110.FC6177.jpg,processed_WW2110.FC6177.jpg
TAG Heuer,Formula 1,Formula 1 Chronograph Quartz Stainless Steel / Senna,CAZ1012.BA0883,No,Sapphire,Round,43.00 mm,200.00 m,Grey,CAZ1012.BA0883.jpg,processed_CAZ1012.BA0883.jpg
TAG Heuer,Link,Link Calibre 16,CAT2110.BA0952,No,Sapphire,Round,42.00 mm,200.00 m,Black,CAT2110.BA0952.jpg,processed_CAT2110.BA0952.jpg
TAG Heuer,Monaco,Monaco Calibre Heuer 02 Stainless Steel / Blue / Bracelet,CBL2111.BA0644,No,Sapphire,Square,39.00 mm,100.00 m,Blue,CBL2111.BA0644.jpg,processed_CBL2111.BA0644.jpg
TAG Heuer,Monaco,Monaco Calibre 11 1989 -1999 Special Edition,CAW211X.FC6468,"Yes, 169 units",Sapphire,Square,39.00 mm,100.00 m,Grey,CAW211X.FC6468.jpg,processed_CAW211X.FC6468.jpg
TAG Heuer,Aquaracer,Aquaracer Professional 200 Automatic 40 Stainless Steel / Black,WBP2110.BA0627,No,Sapphire,Round,40.00 mm,200.00 m,Black,WBP2110.BA0627.jpg,processed_WBP2110.BA0627.jpg
TAG Heuer,Monaco,Monaco Quartz Big Date Stainless Steel / Diamond / MOP / Alligator,WAW1313.FC6247,No,,Square,38.00 mm,100.00 m,White,WAW1313.FC6247.jpg,processed_WAW1313.FC6247.jpg
TAG Heuer,Carrera,Carrera Automatic Stainless Steel / Kuwait,WBN2016.BA0640,No,Sapphire,Round,39.00 mm,100.00 m,Blue,WBN2016.BA0640.jpg,processed_WBN2016.BA0640.jpg
TAG Heuer,Link,Link Calibre 6,WAT2110.BA0950,No,Sapphire,Round,40.00 mm,200.00 m,Black,WAT2110.BA0950.jpg,processed_WAT2110.BA0950.jpg
